id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
255,"Jena-Auerstadt: The Battle for Prussia, 14 October 1806",6.00667,18943,2,2,150,150,150,"['Hobby Japan', 'Kokusai-Tsushin Co., Ltd. (国際通信社)', 'SPI (Simulations Publications, Inc.)']","['Napoleonic', 'Wargame']"
256,Mississippi Queen,6.31074,2731,3,5,45,45,45,"['Goldsieber Spiele', 'Rio Grande Games', 'Simba Toys']","['Nautical', 'Transportation']"
257,Kill Doctor Lucky,6.15579,3173,3,8,45,45,45,"['Cheapass Games', 'cosaic', 'Giochi Uniti', 'Greater Than Games, LLC', 'Paizo Publishing', 'Pegasus Spiele', 'Titanic Games', 'Truant Spiele']","['Humor', 'Murder/Mystery']"
258,Fluxx,5.67453,10650,2,6,30,5,30,"['Looney Labs', 'AMIGO', 'Black Monk', 'Edge Entertainment', 'Hexagonal', 'Hobby Japan', 'Hobby World', 'Iron Crown Enterprises', 'Monkey Time', 'Pegasus Spiele', 'PS-Games', 'Raven Distribution', 'Swan Panasia Co., Ltd.']",['Card Game']
259,Atlantic Storm,6.55585,5606,2,6,60,60,60,['The Avalon Hill Game Co'],"['Card Game', 'Nautical', 'Wargame', 'World War II']"
260,Starship Troopers: Prepare For Battle!,5.8281,16609,2,4,60,45,60,['The Avalon Hill Game Co'],"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
261,Olympia 2000 (v. Chr.),6.0767,10621,2,5,30,30,30,['Hans im Glück'],"['Ancient', 'Card Game', 'Sports']"
,,,,,,,,,,
263,Manitou,6.0901,8678,2,4,45,45,45,['Goldsieber Spiele'],['Card Game']
264,Enemy in Sight,6.25418,5955,2,8,120,120,120,"['The Avalon Hill Game Co', 'Lost Battalion Games']","['Age of Reason', 'American Revolutionary War', 'Card Game', 'Napoleonic', 'Nautical', 'Wargame']"
265,Intrigue,6.37739,2962,3,5,45,45,45,"['AMIGO', 'Cranio Creations', 'F.X. Schmid', 'Igiari', 'Jelly Jelly Games', 'Mandoo Games', 'Mayfair Games', 'Popcorn Games']","['Negotiation', 'Renaissance']"
,,,,,,,,,,
267,Tycoon,6.75701,4212,2,4,90,90,90,['Jumbo'],['Economic']
268,Cheops,6.1936,9206,2,5,45,45,45,['Hans im Glück'],['Ancient']
,,,,,,,,,,
270,Svea Rike,6.38679,6226,2,5,120,90,120,"['Användbart Litet Företag', 'Casper']","['Civilization', 'Economic']"
271,It's Mine!,5.91297,10056,3,5,30,30,30,"['Cocktail Games', 'Egmont Polska', 'Popular de Juguetes', 'Top Cards', 'Winning Moves Games (USA)', 'Winning Moves International Ltd']","['Card Game', 'Real-time']"
272,Downtown,6.33014,11667,3,6,60,60,60,"['ABACUSSPIELE', 'Grünspan-Spiele']","['City Building', 'Negotiation']"
273,Africa 1880,5.67448,19886,3,6,120,120,120,"['Tilsit', 'Truant Spiele']","['Bluffing', 'Exploration', 'Negotiation', 'Political', 'Post-Napoleonic', 'Wargame']"
274,Guerilla,6.26981,7703,3,6,120,60,120,['The Avalon Hill Game Co'],"['Card Game', 'Civil War', 'Modern Warfare', 'Political', 'Wargame']"
275,Extinction,4.96889,24068,2,6,60,60,60,['Incredible Game Company'],['Prehistoric']
276,"La Guerre de l'Empereur: The Emperor's War, 1805-1815",6.41549,16131,2,7,240,240,240,['OSG (Operational Studies Group)'],"['Economic', 'Napoleonic', 'Negotiation', 'Wargame']"
277,Res Publica,5.90028,7601,3,5,60,30,60,"['Queen Games', 'Avalanche Press Ltd.', 'Hexagames (I)']","['Card Game', 'Civilization']"
278,Catan Card Game,6.70545,1207,2,2,120,60,120,"['KOSMOS', '999 Games', 'Albi', 'Competo / Marektoy', 'Devir', 'Filosofia Éditions', 'Galakta', 'Giochi Uniti', 'Kaissa Chess & Games', 'Laser plus', 'Mayfair Games', 'Piatnik', 'Smart Ltd', 'Tilsit']","['Card Game', 'City Building', 'Territory Building']"
279,The Very Clever Pipe Game,6.22103,5897,2,4,20,20,20,['Cheapass Games'],"['Abstract Strategy', 'Card Game']"
280,Neue Spiele im alten Rom,6.80483,7433,2,7,60,20,60,"['New Games Order, LLC', 'Piatnik']","['Abstract Strategy', 'Game System']"
281,Ostindiska kompaniet,4.69364,26040,2,5,120,120,120,"['G&RRR', 'neoGames']","['Economic', 'Nautical']"
282,Vikingatid,5.95268,18415,2,6,300,300,300,['Trollspel'],"['Medieval', 'Wargame']"
283,Advanced Third Reich,6.90512,4181,1,6,1200,180,1200,['The Avalon Hill Game Co'],"['Wargame', 'World War II']"
284,Lords of the Sierra Madre (Second Edition),6.38153,11132,2,8,240,240,240,"['Decision Games (I)', 'Sierra Madre Games']","['American West', 'Economic', 'Negotiation', 'Post-Napoleonic', 'Transportation', 'Wargame']"
285,Monsters Ravage America,5.87413,12529,1,4,90,90,90,['The Avalon Hill Game Co'],"['Science Fiction', 'Wargame']"
286,Machiavelli,7.09621,2862,4,8,480,480,480,"['The Avalon Hill Game Co', 'Battleline']","['Bluffing', 'Negotiation', 'Political', 'Renaissance', 'Wargame']"
287,Bazaar,6.52284,3071,2,6,45,45,45,"['3M', 'Discovery Toys', 'Eagle-Gryphon Games', 'Estrela', 'Klee', 'Parker Spiele', 'Schmidt International', 'Schmidt Spiele']","['Abstract Strategy', 'Math', 'Puzzle']"
288,Rossyïa 1917,7.26806,11122,2,5,300,300,300,['Azure Wish Enterprise (AWE)'],"['Civil War', 'Wargame']"
289,Chariot Lords,6.68103,7909,3,4,360,360,360,"['Clash of Arms Games', 'Tilsit']","['Ancient', 'Territory Building', 'Wargame']"
290,Gold Digger,5.71934,11966,2,5,20,20,20,"['Hans im Glück', 'Out of the Box Publishing', 'SUNNY BIRD', 'Tactic']","['American West', 'Card Game']"
291,Courtisans of Versailles,5.75039,18324,3,8,120,120,120,"['Clash of Arms Games', 'Dragon Radieux', 'Tilsit', 'Truant Spiele']","['Negotiation', 'Political']"
292,Attacke,5.7142,18564,3,5,30,30,30,"['Asmodee', 'cosaic', 'F.X. Schmid', 'Group SNE']","['Card Game', 'Medieval']"
293,Bamboleo,6.32088,4106,2,7,30,30,30,"['Competo / Marektoy', 'Kaissa Chess & Games', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'Vennerød Forlag AS', 'Zoch Verlag']","['Action / Dexterity', 'Party Game']"
294,Keydom,6.81247,11685,2,5,90,90,90,['R&D Games'],"['Bluffing', 'Fantasy', 'Medieval']"
295,Europa 1945-2030,5.97779,10388,3,6,120,120,120,"['Descartes Editeur', 'Eurogames']","['Negotiation', 'Political']"
296,Medieval Merchant,6.70316,3289,2,6,90,60,90,"['Goldsieber Spiele', 'Rio Grande Games']","['Economic', 'Medieval']"
297,Stadens nyckel,5.2732,23876,3,6,120,120,120,"['Casper', 'Target Games']","['City Building', 'Political']"
298,Lang lebe der König!,5.22053,23634,3,5,60,60,60,['F.X. Schmid'],['Wargame']
299,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,7.30763,3366,2,6,300,60,300,"['Hobby Products GmbH', 'Wargames Research Group', 'ZBB Editions']","['Ancient', 'Book', 'Medieval', 'Miniatures', 'Wargame']"
300,Tutankhamen,6.12063,5101,2,6,30,30,30,"['AMIGO', 'Out of the Box Publishing', 'Éveil & Jeux', 'Group SNE']","['Abstract Strategy', 'Ancient']"
