id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
29,Terrain Vague,6.70347,12967,2,4,120,120,120,['Ludodélire'],"['Fighting', 'Humor']"
30,Dark Tower,6.87545,3210,1,4,90,90,90,['Milton Bradley'],"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Fighting']"
31,Dark World,5.40559,25985,2,5,90,90,90,"['AS Company', 'Canada Games Company Lmt.', 'Crown & Andrews Ltd.', 'Diset S. A.', 'Kod Kod', 'Mattel, Inc.', 'Schmidt France', 'Schmidt Spiele', 'Selecta Spel en Hobby', 'Waddingtons']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
32,Buffalo Chess,6.07234,9449,2,2,30,30,30,"['Action GT', 'BHS Games', 'GP Games', 'Lakeside', ""OPEN'N PLAY"", 'Pelikan', 'Piatnik', 'Playte', 'Popcorn Games', 'Schmidt Spiele', 'Venice Connection', 'Winning Moves France']","['Abstract Strategy', 'American West', ""Children's Game""]"
,,,,,,,,,,
34,Arkham Horror,6.66363,5488,1,8,180,180,180,"['Chaosium', 'Descartes Editeur', 'Hobby Japan']","['Adventure', 'Horror', 'Novel-based']"
,,,,,,,,,,
36,Federation & Empire,6.4069,7246,2,8,300,300,300,"['Amarillo Design Bureau, Inc.', 'Task Force Games']","['Science Fiction', 'Wargame']"
37,Dragon Masters,5.80197,20000,2,4,120,120,120,['Games Workshop Ltd.'],"['Fantasy', 'Wargame']"
38,Runes,6.1466,14593,2,4,30,30,30,"['Eon', 'franjos Spieleverlag']","['Deduction', 'Word Game']"
39,Darkover,5.31652,23323,2,4,60,60,60,['Eon'],"['Bluffing', 'Fantasy', 'Novel-based']"
40,Borderlands,6.72819,7449,2,4,120,120,120,"['Edition Spielkunst', 'Eon', 'Tsukuda Hobby', 'Welt der Spiele']","['Bluffing', 'Civilization', 'Fantasy', 'Negotiation', 'Political']"
41,Can't Stop,6.91177,774,2,4,30,30,30,"['Parker Brothers', 'Asmodee', 'Borras Plana S.A.', 'Clipper', 'Eagle-Gryphon Games', 'Ediciones de Mente', 'Editrice Giochi', 'Face2Face Games', 'förlAgo AB', 'franjos Spieleverlag', 'Gonggan27', 'Maldito Games', 'Miro Company', 'New Games Order, LLC', ""OPEN'N PLAY"", 'Oya', 'Palitoy Ltd.', 'Playte', 'Popcorn Games', 'Ravensburger', 'Swan Panasia Co., Ltd.', 'Vennerød Forlag AS']",['Dice']
42,Tigris & Euphrates,7.7052,105,2,4,120,60,120,"['Hans im Glück', '999 Games', 'CZ Cloud Soft Co. Ltd', 'Devir', 'Edge Entertainment', 'Fantasy Flight Games', 'Galápagos Jogos', 'Giochi Uniti', 'Heidelberger Spieleverlag', 'Hobby Japan', 'Lacerta', 'Matagot', 'Mayfair Games', 'Pegasus Spiele', 'Smart Ltd', 'Top Licence Games', 'Wargames Club Publishing', 'Z-Man Games']","['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']"
43,Airlines,6.57639,6497,2,6,90,90,90,['ABACUSSPIELE'],"['Aviation / Flight', 'Economic']"
44,David & Goliath,6.48944,3214,3,6,60,60,60,"['Berliner Spielkarten', 'Pegasus Spiele', 'Playroom Entertainment', 'Wargames Club Publishing']",['Card Game']
45,Perudo,6.91576,832,2,6,30,15,30,"['(Public Domain)', 'Endless Games (I)', 'F.X. Schmid', 'Milton Bradley', '(Self-Published)', 'A. F. Blake Enterprises', 'Alga', 'Arclight Games', 'Asmodee', 'BASF-Knoll', 'Blake Enterprises', 'Brimtoy', 'Brybelly', 'Cappelen', 'Cardinal', 'Crown & Andrews Ltd.', 'Damm / Egmont', 'E. S. Lowe Company Inc.', 'Friendly Games, Inc.', 'Front Porch Classics', 'Giochi Uniti', 'Goliath Games', 'Grafix BV', 'Hasbro', 'Hazgaard Editions', 'Inca Perudo', 'International Games', 'Jumbo', 'Korea Boardgames', 'KOZAK Games', 'L4 Studios', 'Mattel, Inc.', 'McNaughty Games', 'Mr. B Games', 'The Op Games', 'Outset Media', 'Parker Brothers', 'Paul Lamond Games Ltd', 'Piatnik', 'Planet Finska', 'Pressman Toy Corp.', 'Ravensburger', 'Reveal Entertainment, Inc.', 'Spin Master Ltd.', 'Stupor Mundi', 'University Games', 'Walt Disney Productions (Disney)', 'Zygomatic']","[""Children's Game"", 'Dice', 'Movies / TV / Radio theme', 'Party Game']"
46,Medici,7.17163,679,2,6,60,60,60,"['AMIGO', 'ABACUSSPIELE', 'Asmodee', 'Devil Dice Games', 'Grail Games', 'Group SNE', 'Lui-même', 'PaperGames (III)', 'Rio Grande Games', 'Steamforged Games Ltd.']",['Renaissance']
47,Chinatown,7.42992,358,3,5,60,60,60,"['alea', 'Ravensburger', '(Unknown)', 'Competo / Marektoy', 'Filosofia Éditions', 'Heidelberger Spieleverlag', 'Mandoo Games', 'Quined White Goblin Games', 'Siam Board Games', 'Z-Man Games']","['City Building', 'Economic', 'Negotiation']"
48,Krieg und Frieden,6.08851,6683,2,4,90,90,90,"['999 Games', 'La Tana dei Goblin', 'TM Spiele']","['Medieval', 'Political']"
49,Mamma Mia!,6.4792,1964,2,5,30,30,30,"['ABACUSSPIELE', 'Brain Games', 'cutia.ro', 'DV Games', 'G3', 'HomoLudicus', 'Kaissa Chess & Games', 'Korea Boardgames', 'Lifestyle Boardgames Ltd', 'Möbius Games', 'Oya', 'PS-Games', 'Red Glove', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'Vennerød Forlag AS']","['Card Game', 'Memory']"
50,Lost Cities,7.23841,332,2,2,30,30,30,"['KOSMOS', '999 Games', 'Albi', 'Competo / Marektoy', 'Devir', 'Filosofia Éditions', 'Galakta', 'Group SNE', 'IELLO', 'Kaissa Chess & Games', 'Korea Boardgames', 'Land of Beautiful Mind (سرزمین ذهن زیبا)', 'Laser plus', 'Lautapelit.fi', 'Midgaard Games', 'Piatnik', 'Playhouse Ltd', 'Rio Grande Games', 'Stupor Mundi', 'SuperHeated Neurons', 'Swan Panasia Co., Ltd.', 'Tilsit', 'Zvezda', 'گیمِ پندو (Pendo Games)']","['Card Game', 'Exploration', 'Math']"
51,Ricochet Robots,7.02874,851,1,99,30,30,30,"['Hans im Glück', 'ABACUSSPIELE', 'Devir', 'Gém Klub Kft.', 'Happy Baobab', 'Korea Boardgames', 'MS Edizioni', 'Oya', 'Playgo Hungary', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'Z-Man Games']","['Abstract Strategy', 'Maze', 'Puzzle', 'Real-time']"
52,Mighty Empires,6.19371,8179,2,3,300,300,300,['Games Workshop Ltd.'],"['Fantasy', 'Territory Building', 'Wargame']"
53,Brauerei,6.00641,20118,3,6,0,0,0,['Fanfor-Verlag'],['Economic']
54,Tikal,7.32726,339,2,4,90,90,90,"['Ravensburger', 'Super Meeple', 'ABACUSSPIELE', 'CMON Global Limited', 'Conclave Editora', 'DV Games', 'Egmont Polska', 'Gém Klub Kft.', 'Hobby Game Mall', 'Keep Exploring Games', 'Maldito Games', 'Rio Grande Games', 'Siam Board Games', 'YOKA Games', 'Zvezda']","['Exploration', 'Territory Building']"
55,Sophie's World,4.83776,25538,2,6,90,60,90,"['KOSMOS', 'Orion', 'Pontaccio', 'Sophisticated Games']","['Novel-based', 'Trivia']"
,,,,,,,,,,
