id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
3086906,Mistmade1968,2021,2023-10-30,Germany,[],0,[],0
3832289,Testwueueuueu,2024,2024-03-19,Poland,[],0,[],0
3538221,Stoika,2023,2023-05-03,Belgium,[],0,[],0
44930,sue589,2005,2021-02-10,United States,"['Dreamwrecker', 'EALenhart', 'fishlikejc', 'jbetz45453', 'jcarvin', 'scarvin']",6,"['307', '1805']",2
478020,coreeyore,2012,2024-06-29,United States,['jaholbrook4455'],1,"['1145', '1692', '2767']",3
640622,MindAstray,2013,2024-06-29,Denmark,[],0,[],0
3023857,BoonkyBear,2021,2021-09-14,United States,[],0,[],0
3739295,m42_turbo,2023,2023-12-26,Moldova,[],0,[],0
2949501,T0RCK,2021,2021-06-06,France,[],0,[],0
2355200,blackestbird,2019,2024-06-29,Netherlands,[],0,[],0
1888273,Maccmasta,2018,2021-09-12,United States,[],0,[],0
379784,clavi,2011,2024-06-30,Poland,[],0,[],0
2395423,thinkinmonkey,2020,2023-10-28,United Kingdom,[],0,[],0
2855455,max_schtze,2021,2021-03-07,Germany,[],0,[],0
3232801,BrandonKasperkoski,2022,2024-06-30,United States,[],0,[],0
2675013,rollingdoubles,2020,2024-06-30,United States,[],0,['42'],1
2806065,Red_Rob,2021,2021-05-31,United Kingdom,[],0,[],0
624899,Dual22,2013,2024-06-27,Brazil,[],0,[],0
1650100,Peepster1976,2017,2024-06-15,Netherlands,[],0,[],0
3003398,mada251198,2021,2021-08-17,Romania,[],0,[],0
62417,Finachetto,2005,2024-06-30,United States,[],0,['1124'],1
2703853,Dudemullet,2020,2024-03-03,United States,[],0,[],0
2939564,chrispogeek,2021,2021-10-16,United States,[],0,[],0
3751286,Patton1977,2024,2024-01-03,United States,[],0,[],0
2676161,Wrayne,2020,2023-10-07,Austria,[],0,[],0
2743973,ahbuddha7,2020,2023-03-17,United States,[],0,['1303'],1
1025221,janclos,2015,2023-02-05,Spain,[],0,[],0
3581798,Caffeinated_Capybara,2023,2023-07-06,United States,[],0,[],0
1800459,Baccs,2018,2024-06-27,France,[],0,[],0
2915997,Karen_Van_Dyck,2021,2021-04-21,Belgium,[],0,[],0
1692517,ClaudioC,2017,2021-10-03,France,[],0,[],0
3819018,TheBuford,2024,2024-03-28,United States,[],0,[],0
465600,guilhermefsp,2012,2024-06-21,Brazil,"['Chocolate Cactus', 'Lilianerf', 'prcsdark']",3,['193'],1
782115,Larzmurz,2013,2024-06-24,Scotland,[],0,[],0
3699797,Wargreymon_2,2023,2023-11-14,Brazil,[],0,[],0
319101,jarutko,2010,2024-04-15,United States,[],0,[],0
523889,zucky,2012,2024-03-21,United States,[],0,[],0
3519509,menedain,2023,2023-04-11,South Africa,[],0,[],0
3711438,kangarl,2023,2024-06-30,Australia,[],0,['1303'],1
